"","Strain","Replicate","Phylum","Family","Genus","Run","TI_norm_MBOA","TI_norm_AMPO","TI_norm_APO","TI_norm_BOA","TI_norm_DMG"
"88","LME2","3","Firmicutes","Bacillaceae","Bacillus","R2",0.905395589242732,0.858419161684756,0.888679134737148,0.863412929861677,0.74192817770305
"89","LME3","1","Proteobacteria","Enterobacteriaceae","Enterobacter","R1",0.499198895767041,0.969689732087539,0.948440243322611,0.700824217473505,NA
"90","LME3","1","Proteobacteria","Enterobacteriaceae","Enterobacter","R2",0.507004994145796,0.936591151910238,0.953315752514843,0.734874668611835,1.02761234058814
"91","LME3","2","Proteobacteria","Enterobacteriaceae","Enterobacter","R1",0.505592131511678,0.993897728177944,0.941965169999133,0.705367970673022,NA
"92","LME3","2","Proteobacteria","Enterobacteriaceae","Enterobacter","R2",0.506446290059912,0.929698715635886,0.954730415281839,0.746248033974537,0.998870354054638
"93","LME3","3","Proteobacteria","Enterobacteriaceae","Enterobacter","R1",0.514862595474954,1.28263340913499,0.712293290943097,0.702278518044977,NA
"94","LME3","3","Proteobacteria","Enterobacteriaceae","Enterobacter","R2",0.925406451677573,1.68362725838827,0.947606348285065,0.707561804829689,0.672259898027981
"95","LMI1","1","Actinobacteriota","Microbacteriaceae","Micrococcineae","R1",0.225891382156819,0.952472432279,0.982099635186442,0.814384420418221,NA
"96","LMI1","1","Actinobacteriota","Microbacteriaceae","Micrococcineae","R2",0.262956692046091,0.9731517673263,0.964589424099136,0.807674127348233,1.18189286505714
"97","LMI1","2","Actinobacteriota","Microbacteriaceae","Micrococcineae","R1",0.17166895411959,0.929030515605957,0.87067431163856,0.777640835875855,NA
"98","LMI1","2","Actinobacteriota","Microbacteriaceae","Micrococcineae","R2",0.254474588896677,0.921980249519892,1.00808770169787,0.859039990725263,1.15210600165659
"99","LMI1","3","Actinobacteriota","Microbacteriaceae","Micrococcineae","R1",0.210762153637653,1.07232042947327,0.898475751238824,0.676839080539776,NA
"100","LMI1","3","Actinobacteriota","Microbacteriaceae","Micrococcineae","R2",0.264376915423425,0.879168450162716,0.905909339851128,0.916635127730409,1.17235817028607
"101","LMI11","1","Actinobacteria","Microbacteriaceae","Micrococcineae","R1",0.731057397057745,0.893841564173077,0.791100919045497,0.764036391703959,NA
"102","LMI11","1","Actinobacteria","Microbacteriaceae","Micrococcineae","R2",0.743808718705271,0.808694001672074,0.857190391572596,0.687871417306427,1.20539444103613
"103","LMI11","2","Actinobacteria","Microbacteriaceae","Micrococcineae","R1",0.621614891116859,0.899075600813133,1.08576571303724,0.721633702676048,NA
"104","LMI11","2","Actinobacteria","Microbacteriaceae","Micrococcineae","R2",0.626332864069364,0.79129449883658,0.867055774737566,0.785664275029237,1.56912374287562
"105","LMI11","3","Actinobacteria","Microbacteriaceae","Micrococcineae","R1",0.625597485979853,0.859200812131378,0.88637929830887,0.762894697819619,NA
"106","LMI11","3","Actinobacteria","Microbacteriaceae","Micrococcineae","R2",0.699645227393588,0.868425229890076,0.874196937190554,0.725818162585743,1.25256906622812
"107","LMI12","1","Actinobacteria","Microbacteriaceae","Micrococcineae","R1",0.278744549111662,1.07206029123603,0.239377409992424,0.473070087088337,NA
"108","LMI12","1","Actinobacteria","Microbacteriaceae","Micrococcineae","R2",0.1958007492899,1.14742408005607,1.78306288430538,0.625952722230745,1.08743604707805
"109","LMI12","2","Actinobacteria","Microbacteriaceae","Micrococcineae","R1",0.336632128408296,0.730655844107232,0.34822782954736,0.797498290776354,NA
"110","LMI12","2","Actinobacteria","Microbacteriaceae","Micrococcineae","R2",0.321756090912194,1.3022715373872,2.02121091004554,0.463402025046743,1.01792917629078
"111","LMI12","3","Actinobacteria","Microbacteriaceae","Micrococcineae","R1",0.207318513507825,0.954892478505563,0.373883584358576,0.60728998322038,NA
"112","LMI12","3","Actinobacteria","Microbacteriaceae","Micrococcineae","R2",0.292577912814389,1.00690998891395,0.538514833875954,0.511268553886708,0.941660065975527
"113","LMI13","1","Actinobacteria","Microbacteriaceae","Micrococcineae","R1",0.671007087115103,0.895944481219016,0.894882370825014,0.715296800294646,NA
"114","LMI13","1","Actinobacteria","Microbacteriaceae","Micrococcineae","R2",0.694379553018191,0.77910149667189,0.876163909813152,0.736181537938476,1.13962443346462
"115","LMI13","2","Actinobacteria","Microbacteriaceae","Micrococcineae","R1",0.685858483515472,0.836363059519085,0.804377595899841,0.693674864677077,NA
"116","LMI13","2","Actinobacteria","Microbacteriaceae","Micrococcineae","R2",0.670773839865493,0.739300030070363,0.867915597249188,0.671186314397332,1.34409267863245
"117","LMI13","3","Actinobacteria","Microbacteriaceae","Micrococcineae","R1",0.69382496521726,0.837447437189011,0.970844473415545,0.63186509656146,NA
"118","LMI13","3","Actinobacteria","Microbacteriaceae","Micrococcineae","R2",0.608075468201599,0.767014139921216,0.966908769368558,0.771304395901821,1.26898114108451
"119","LMI15","1","Actinobacteria","Microbacteriaceae","Micrococcineae","R1",0.706649102706257,0.94471138584364,0.80672442966827,0.886485673241743,NA
"120","LMI15","1","Actinobacteria","Microbacteriaceae","Micrococcineae","R2",0.663442087452657,0.905482682439868,0.765652629073584,0.84498687025804,1.02656504493607
"121","LMI15","2","Actinobacteria","Microbacteriaceae","Micrococcineae","R1",0.743671923115706,0.95079494232554,0.799437777444027,0.884426114635116,NA
"122","LMI15","2","Actinobacteria","Microbacteriaceae","Micrococcineae","R2",0.7156852160972,0.837458427932873,0.968738216760116,0.867801733149907,1.13403379143051
"123","LMI15","3","Actinobacteria","Microbacteriaceae","Micrococcineae","R1",0.740378076217782,0.875716722975716,1.07523769528581,0.975102596684447,NA
"124","LMI15","3","Actinobacteria","Microbacteriaceae","Micrococcineae","R2",0.702187795223406,0.856507423984921,1.02523385806621,0.816655955907425,0.961899692466988
"125","LMI1x","1","Actinobacteria","Microbacteriaceae","Micrococcineae","R1",0.91795037452636,0.885783886216012,0.821918885840488,1.06834231104912,NA
"126","LMI1x","1","Actinobacteria","Microbacteriaceae","Micrococcineae","R2",0.879616831247822,0.890039177072133,0.943841695831248,1.13280780712619,1.05361061814872
"127","LMI1x","2","Actinobacteria","Microbacteriaceae","Micrococcineae","R1",0.932314960347302,0.876706976593999,0.856843849509163,0.940875252120286,NA
"128","LMI1x","2","Actinobacteria","Microbacteriaceae","Micrococcineae","R2",0.852635757779717,0.901972062143868,2.39139320002754,1.05986920247371,1.04786165573194
"129","LMI1x","3","Actinobacteria","Microbacteriaceae","Micrococcineae","R1",0.901741658381814,0.905998685532803,0.897754373913463,1.12202329048699,NA
"130","LMI1x","3","Actinobacteria","Microbacteriaceae","Micrococcineae","R2",0.900847576062543,1.23534535675565,2.61800077339724,1.07638899447464,1.03888589479315
"131","LMJ1","1","Firmicutes","Bacillaceae","Bacillus","R1",0.458510977517408,0.363128230028394,0.207224929106437,1.00224321188432,NA
"132","LMJ1","1","Firmicutes","Bacillaceae","Bacillus","R2",0.962055139808583,1.05232937186085,2.14368850846017,1.07134440476369,0.435389215607516
"133","LMJ1","2","Firmicutes","Bacillaceae","Bacillus","R1",0.475084056761312,0.697563532334635,0.154885922374447,1.2795461578091,NA
"134","LMJ1","2","Firmicutes","Bacillaceae","Bacillus","R2",0.57786832397035,0.490774848181393,2.54525533860167,1.20770086057993,0.779591039888765
"135","LMJ1","3","Firmicutes","Bacillaceae","Bacillus","R1",0.338645551825381,0.219173635958863,0.171023029507156,2.78490158969774,NA
"136","LMJ1","3","Firmicutes","Bacillaceae","Bacillus","R2",0.770054723338732,0.58635444458311,1.47050174237021,0.666736585343653,0.914096775685835
"137","LMK1","1","Proteobacteria","Erwiniaceae","Pantoea","R1",0.533748510518522,0.941488079849194,1.01684321346702,0.740031530493264,NA
"138","LMK1","1","Proteobacteria","Erwiniaceae","Pantoea","R2",0.494041621006011,0.990317387782425,0.933208283880069,0.710301515971984,0.927762561171411
"139","LMK1","2","Proteobacteria","Erwiniaceae","Pantoea","R1",0.532718084684967,0.976746536559793,0.941740412941723,0.689851636757644,NA
"140","LMK1","2","Proteobacteria","Erwiniaceae","Pantoea","R2",0.535916056147739,0.961389461243303,0.9683299867805,0.75333780451579,0.973276434617153
