"","Plate.ID","qPCR.DNA.ID","Sample.ID","Location","Background","Genotype","Compartment","Replicate","Field_ID","Well","qPCR.Method","LinRegPCR","qPCR.Replicate","indiv.PCR.eff.ZmActin1A","R2.ZmActin1A","threshold.ZmActin1A","Cq.ZmActin1A","indiv.PCR.eff.ZmActin1B","R2.ZmActin1B","threshold.ZmActin1B","Cq.ZmActin1B","indiv.PCR.eff.799F904R","R2.799F904R","threshold.799F904R","Cq.799F904R","Mean.PCR.eff.799F904R","RB"
"54","C302SOLT","C302SOLT_Reckenholz_B73_bx1_root_3_9.1_1","Reckenholz_B73_bx1_root_3_9.1","Reckenholz","B73","bx1","root",3,9.1,"C19","HOT FIREPOL","Multi per target",1,1.86916266444543,0.999503716733983,0.382,29.9966858676708,1.8416279956393,0.99993925631086,0.4285,28.7431270098361,1.72959368454367,0.997044875655877,0.0405,26.3389604976553,1.41174202394875,26173.0612703821
"55","C302SOLT","C302SOLT_Reckenholz_B73_bx1_root_5_5.2_1","Reckenholz_B73_bx1_root_5_5.2","Reckenholz","B73","bx1","root",5,5.2,"G21","HOT FIREPOL","Multi per target",1,1.87316906774014,0.999977698233624,0.382,32.3216229853634,1.84596115727601,0.99987206252712,0.4285,31.0954780540583,1.41656263196446,0.992378566563604,0.0405,24.6918862699436,1.41174202394875,205419.4153059
"56","C302SOLT","C302SOLT_Reckenholz_B73_bx1_root_6_8.2_1","Reckenholz_B73_bx1_root_6_8.2","Reckenholz","B73","bx1","root",6,8.2,"M11","HOT FIREPOL","Multi per target",1,1.93124178201326,0.999166333430519,0.382,31.3893457903884,1.85703034855663,0.99909205694786,0.4285,29.7999791612107,1.47953699733464,0.9896497257873,0.0405,21.8756648822584,1.41174202394875,298189.492439347
"57","C302SOLT","C302SOLT_Reckenholz_B73_bx1_root_7_2.3_1","Reckenholz_B73_bx1_root_7_2.3","Reckenholz","B73","bx1","root",7,2.3,"C13","HOT FIREPOL","Multi per target",1,1.95279953893111,0.999494994556686,0.382,33.5089418574541,1.94669337204766,0.999614816315191,0.4285,31.4160113646413,1.57608827108074,0.977302878309895,0.0405,25.0166701383671,1.41174202394875,393545.867822546
"58","C302SOLT","C302SOLT_Reckenholz_B73_bx1_root_8_6.3_1","Reckenholz_B73_bx1_root_8_6.3","Reckenholz","B73","bx1","root",8,6.3,"K13","HOT FIREPOL","Multi per target",1,1.79869869824942,0.999090896480719,0.382,29.7127016847681,1.95332135399475,0.998512213315148,0.4285,28.2765327098284,1.88352923656221,0.988802864058512,0.0405,24.6050194116289,1.41174202394875,39660.1589114011
"59","C302SOLT","C302SOLT_Reckenholz_B73_WT_root_11_11.4_1","Reckenholz_B73_WT_root_11_11.4","Reckenholz","B73","WT","root",11,11.4,"I17","HOT FIREPOL","Multi per target",1,1.88951848453568,0.999586394072358,0.382,31.0809516344877,1.85061354751814,0.999712154778544,0.4285,29.8942392799735,1.72314901720254,0.9984902616184,0.0405,24.9237459408232,1.41174202394875,85517.3169427069
"60","C302SOLT","C302SOLT_Reckenholz_B73_WT_root_2_6.1_1","Reckenholz_B73_WT_root_2_6.1","Reckenholz","B73","WT","root",2,6.1,"I13","HOT FIREPOL","Multi per target",1,1.90403970685902,0.998902312141472,0.382,33.3174310197762,2.0560865910019,0.999851490322642,0.4285,31.7213343984421,1.47168933230503,0.996137644859522,0.0405,22.9588662653394,1.41174202394875,707578.297366273
"61","C302SOLT","C302SOLT_Reckenholz_B73_WT_root_3_10.1_1","Reckenholz_B73_WT_root_3_10.1","Reckenholz","B73","WT","root",3,10.1,"O17","HOT FIREPOL","Multi per target",1,1.95075660530174,0.999141372913305,0.382,33.1364321004276,1.96321590704313,0.999702829907515,0.4285,31.7906955183014,1.69878171924692,0.985029481286668,0.0405,24.77921178959,1.41174202394875,336287.321277442
"62","C302SOLT","C302SOLT_Reckenholz_B73_WT_root_5_6.2_1","Reckenholz_B73_WT_root_5_6.2","Reckenholz","B73","WT","root",5,6.2,"A15","HOT FIREPOL","Multi per target",1,1.98681035975997,0.999377601190143,0.382,32.8494970595025,1.96510983692286,0.99917278503762,0.4285,33.0273044565961,1.63686033268371,0.998675168338677,0.0405,25.0901709646802,1.41174202394875,251277.188472812
"63","C302SOLT","C302SOLT_Reckenholz_B73_WT_root_6_3.3_1","Reckenholz_B73_WT_root_6_3.3","Reckenholz","B73","WT","root",6,3.3,"C21","HOT FIREPOL","Multi per target",1,1.86628997796611,0.999890588579371,0.382,31.2196987935767,1.86702660616164,0.998673198094882,0.4285,30.1464579498785,1.58353872645636,0.993130953814685,0.0405,26.5919901666842,1.41174202394875,52590.1596593239
"64","C302SOLT","C302SOLT_Reckenholz_B73_WT_root_7_10.3_1","Reckenholz_B73_WT_root_7_10.3","Reckenholz","B73","WT","root",7,10.3,"A13","HOT FIREPOL","Multi per target",1,1.90679081007116,0.999845852939236,0.382,32.2097604585231,1.89141484191987,0.999240362179337,0.4285,31.2194815185687,1,0,0.0405,0,1.41174202394875,953233223.976273
"65","C302SOLT","C302SOLT_Reckenholz_B73_WT_root_8_1.4_1","Reckenholz_B73_WT_root_8_1.4","Reckenholz","B73","WT","root",8,1.4,"I19","HOT FIREPOL","Multi per target",1,1.93706283402193,0.99985434248324,0.382,33.6523013763351,1.91496682391324,0.999479388837818,0.4285,32.339379942704,1.7802218112455,0.997266327705257,0.0405,26.3958418939096,1.41174202394875,268177.122049903
