OTUId	R44_1193R_F67_799F	R45_1193R_F61_799F	R44_1193R_F71_799F	R44_1193R_F69_799F	R44_1193R_F63_799F	R44_1193R_F65_799F	R45_1193R_F63_799F	R45_1193R_F65_799F	R45_1193R_F67_799F	R43_1193R_F65_799F	R43_1193R_F63_799F	R43_1193R_F67_799F	R43_1193R_F69_799F	R43_1193R_F61_799F	R43_1193R_F71_799F	R44_1193R_F61_799F	R46_1193R_F63_799F	R46_1193R_F61_799F	R46_1193R_F65_799F	R45_1193R_F71_799F	R46_1193R_F67_799F	R45_1193R_F69_799F	R4_1193R_F20_799F	R4_1193R_F19_799F	R4_1193R_F21_799F	R4_1193R_F18_799F	R3_1193R_F35_799F	R3_1193R_F34_799F	R3_1193R_F33_799F	R3_1193R_F36_799F	R3_1193R_F37_799F	R3_1193R_F31_799F	R3_1193R_F32_799F	R3_1193R_F30_799F	R4_1193R_F17_799F	R3_1193R_F38_799F	R4_1193R_F27_799F	R4_1193R_F28_799F	R4_1193R_F29_799F	R4_1193R_F25_799F	R4_1193R_F26_799F	R4_1193R_F30_799F	R4_1193R_F31_799F	R4_1193R_F22_799F	R4_1193R_F23_799F	R4_1193R_F24_799F	R3_1193R_F21_799F	R3_1193R_F22_799F	R3_1193R_F19_799F	R3_1193R_F18_799F	R3_1193R_F17_799F	R3_1193R_F20_799F	R3_1193R_F27_799F	R3_1193R_F26_799F	R3_1193R_F28_799F	R3_1193R_F25_799F	R3_1193R_F29_799F	R3_1193R_F23_799F	R3_1193R_F24_799F	R41_1193R_F71_799F	R41_1193R_F69_799F	R42_1193R_F61_799F	R41_1193R_F67_799F	R41_1193R_F65_799F	R42_1193R_F71_799F	R42_1193R_F69_799F	R42_1193R_F67_799F	R42_1193R_F63_799F	R42_1193R_F65_799F	R40_1193R_F65_799F	R40_1193R_F63_799F	R40_1193R_F67_799F	R4_1193R_F34_799F	R4_1193R_F33_799F	R4_1193R_F35_799F	R4_1193R_F32_799F	R4_1193R_F36_799F	R40_1193R_F61_799F	R4_1193R_F37_799F	R4_1193R_F38_799F	R41_1193R_F61_799F	R41_1193R_F63_799F	R40_1193R_F71_799F	R40_1193R_F69_799F
OTU766	0	21	0	0	0	2	3	1	0	0	5	1	54	9	16	0	0	1	14	6	0	241	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	1	0	0	0	6	3	0	1	0	0	1	0	6	0	0	1	0	0	1	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0
OTU1592	0	20	0	0	4	11	0	0	0	0	0	0	9	8	3	0	1	0	10	0	6	27	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	46	32	1	3	0	0	0	1	24	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
OTU1955	0	11	1	0	0	12	1	1	0	1	0	0	6	0	12	0	0	0	14	4	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	6	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU585	0	18	0	3	0	7	1	1	0	2	0	2	43	0	90	0	0	5	50	40	22	237	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	14	0	8	0	0	0	0	0	0	0	1	0	1	25	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU2491	0	5	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	1	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2644	1	10	0	0	0	3	2	0	0	0	3	0	4	12	3	0	1	0	15	2	7	11	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	2	5	0	0	0	2	0	0	2	3	1	3	2	1	6	0	0	0	0	0	2	0	0	6	0	7	0	0	1	0	1	0	1	0	0	5	1	0
OTU1588	0	10	1	0	0	0	8	2	1	0	1	0	0	3	0	4	13	2	0	5	18	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	1	11	3	0	2	1	1	0	6	2	0	7	3	4	0	0	0	0	0	4	1	0	8	3	1	2
OTU1947	0	2	0	0	0	0	1	0	0	0	1	3	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	6	1	0	0	0	0	0	28	0	1	0	0	0	0	0	1	0	0	1	0	0	1
OTU1396	0	4	0	0	1	1	3	0	0	2	3	0	6	2	7	2	0	0	16	22	3	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	3	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	1	0	0	2	1	3	1	0	1	0	0	0	0	0	0	0	0	1	2	3	0
OTU2144	0	4	0	0	0	1	0	0	1	0	0	0	5	0	6	0	0	0	11	0	0	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU2295	0	1	0	0	0	3	1	0	25	0	0	0	0	1	0	0	0	0	1	2	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0
OTU1719	0	13	0	0	17	3	0	0	0	7	0	0	37	0	12	6	0	1	5	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	3	2	0	6	0	0	0	0	40	51	0	0	1	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1833	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	11	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU484	0	15	0	1	0	10	0	3	2	1	1	0	140	8	38	0	0	1	24	85	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU2978	1	4	0	0	0	2	0	3	0	0	2	0	3	3	1	0	0	0	11	0	1	4	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU1198	0	8	2	3	11	6	0	1	0	32	2	0	33	0	9	22	0	0	2	6	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	20	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0
OTU1065	0	8	0	0	14	6	2	7	2	18	1	0	4	4	9	2	11	0	12	29	0	13	0	0	47	2	1	0	0	0	0	2	1	0	0	0	0	0	3	0	1	0	0	5	0	3	5	49	1	6	10	2	0	1	3	2	0	1	2	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU3224	0	3	0	1	0	4	0	0	0	0	2	0	0	4	0	0	0	0	9	4	0	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	4	1	1	0	0	0	4	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	2	0	0	1	1	2	0	0
OTU2366	0	8	0	0	11	4	0	2	48	5	0	3	8	1	11	6	1	1	8	30	3	8	0	0	35	0	0	0	0	0	0	0	0	0	0	1	0	2	4	3	0	0	0	0	1	0	1	21	2	0	2	0	0	0	4	2	2	0	2	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU1862	0	1	0	0	4	2	0	0	7	0	0	0	1	0	4	0	6	1	9	6	0	0	0	1	22	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	2	1	0	1	1	8	49	0	6	4	0	0	0	0	3	1	2	2	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU1300	1	14	0	0	0	12	1	0	0	1	1	1	1	1	2	1	0	1	58	5	2	9	1	1	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	6	10	1	0	0	0	0	0	6	0	2	0	2	5	1	0	0	0	5	0	4	0	1	7	0	0	0	0	0	1	5	0	0	0	0	0	0	0
OTU2630	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5	0	0	7	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	5	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1460	0	11	2	0	5	7	3	2	1	0	0	1	7	4	10	0	0	2	26	15	2	16	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	3	0	0	0	3	17	9	1	2	0	0	0	3	8	4	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0
OTU3431	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	1	1	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	3	11	0	0	1	1	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU1284	0	15	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	7	0	0	3	1	1	2	0	0	0	0	0	0	0	0	1	2	0	0	0	4	0	0	9	0	0	0	0	50	18	1	3	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU3014	1	8	0	0	0	1	1	1	0	0	1	0	2	9	3	0	0	0	9	4	0	5	2	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	3	1	1	0	0	1	0	0	0	1	4	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU2421	0	1	3	0	0	2	0	1	9	0	0	2	0	0	0	2	1	1	4	9	11	0	0	0	16	0	0	0	0	0	0	0	0	1	0	6	1	0	3	1	0	0	0	8	0	0	2	1	0	0	1	0	1	0	1	0	0	0	0	0	0	5	1	4	1	0	1	4	0	6	4	9	0	0	0	0	0	2	0	0	0	0	10	1
OTU2115	0	7	0	0	0	1	0	1	3	3	1	0	4	0	2	0	0	0	11	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	10	9	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
OTU3202	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
OTU2532	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2163	0	14	0	0	0	11	0	2	15	1	0	0	3	1	8	2	0	0	0	7	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
OTU3626	0	1	0	0	0	2	0	0	0	0	2	0	0	4	1	0	0	0	3	3	4	3	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0
OTU3136	0	3	0	0	2	0	0	0	0	0	0	0	2	1	0	1	0	0	2	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU229	0	0	23	0	184	3	5	53	51	14	8	51	8	0	8	35	55	15	1	3	8	1	0	5	33	32	3	4	8	2	4	13	7	7	2	12	0	5	21	6	1	1	7	9	8	3	48	39	117	1073	14	18	5	15	37	17	14	14	11	3	1	8	5	39	22	0	6	66	3	15	216	2	1	4	0	15	1	17	0	2	3	9	31	1
OTU2554	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
OTU2124	0	0	20	1	0	0	3	0	1	41	1	0	3	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	9	0	2	0	0	3	0	0	0	0	0	0	0	1	0	44	1	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	2	37	0
OTU1782	0	0	3	0	0	4	3	0	0	0	7	1	2	3	0	0	0	0	2	0	3	5	0	2	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	2	4	0	0	2	0	1	0	0	0	0	0	3	3	0	1	0	0	4	2	0	0	0	0	0	0	0	0
OTU3245	0	2	2	0	3	0	1	0	6	1	1	0	1	0	0	1	2	1	1	0	1	1	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	2	1	1	0	0	0	2	5	1	1	0	5	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0
OTU1552	0	16	1	0	0	2	4	1	12	0	0	10	0	7	2	0	4	4	21	2	0	3	1	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	5	1	0	0	1	0	0	0	0	0	2	1	6	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	1	0	0	1
OTU1565	0	0	3	0	0	1	1	1	4	0	2	1	1	2	0	0	1	0	1	5	3	0	1	7	14	2	0	1	0	1	0	4	3	4	9	1	0	6	3	4	2	1	1	9	7	2	17	26	6	5	15	9	4	4	3	4	5	7	1	1	0	0	1	0	13	0	0	4	0	0	0	1	1	1	0	6	1	2	2	0	1	0	1	0
OTU3177	0	1	5	0	1	2	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU2307	0	0	3	0	4	0	2	0	0	0	4	0	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	3	1	2	0	0	1	0	4	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	3	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0
OTU2332	0	0	1	0	3	0	1	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3
OTU2506	0	0	1	0	0	0	0	0	0	0	2	6	0	3	0	0	0	0	2	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0
OTU323	0	1	11	0	0	4	2	5	0	322	11	0	135	1	2	6	10	1	3	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	156	1	2	289	0	0	12	0	0	23	0	9	0	0	0	0	0	161	0	0	7	12	151	49
OTU3119	0	1	2	0	0	0	0	0	3	0	3	0	0	4	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	4	0	0	0	0	0	0	1	2	0	0	0	0	0	0
OTU3343	0	1	2	0	0	0	3	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2779	0	0	1	0	8	0	18	0	0	0	11	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU1590	0	6	5	0	0	12	1	0	5	1	0	5	7	2	3	2	1	1	26	16	4	4	0	0	7	0	0	0	0	0	0	1	0	1	1	0	0	0	7	0	0	8	0	0	0	0	75	60	0	2	7	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	6	0	0	0	0	0	5	3
OTU2238	0	1	4	2	10	2	0	2	8	3	2	1	7	1	1	10	11	1	1	0	0	1	0	0	40	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	5	2	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	6	2	1	14	1	2	3	1	0	1	1	0	1	0	1	0	3	0	0	0	0	2	3
OTU4095	0	0	1	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3223	0	0	1	0	2	0	0	0	15	6	0	0	1	1	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU1594	0	0	4	0	0	3	17	0	0	18	2	0	14	2	0	0	1	0	2	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	5	0	0	0	0	1	0	1	2	0	0	0	0	0	0	5	0	0	0	0	1	6	0	3	0	27	37	1
OTU3290	0	0	14	0	2	1	1	3	5	2	1	0	2	0	0	15	16	6	0	0	7	0	1	0	0	3	1	1	2	1	1	1	0	1	0	3	0	1	5	0	1	0	0	0	0	0	1	3	4	37	4	1	1	0	4	1	4	1	2	0	0	1	0	8	13	0	0	27	1	0	8	0	0	1	0	0	0	2	0	0	0	0	1	0
OTU2908	0	0	6	0	2	0	1	0	2	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	4	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	2	1	0	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU1649	0	9	2	0	3	4	6	3	11	4	4	5	7	9	5	4	1	8	18	6	4	7	1	3	3	2	3	1	0	1	1	1	1	9	1	1	1	0	5	0	1	5	3	6	8	2	20	16	1	0	0	7	0	3	1	1	3	7	6	3	0	2	0	1	1	1	2	2	1	0	0	0	2	0	0	2	2	2	1	0	0	6	3	1
OTU3690	0	0	3	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	5	0	5	0	0	1	0	0	0	1	2	3	0	0	0	0	0	0	2	0	0	0	1	0	5	0	1	1	0	0	2	0	0	0	1	0	0	0	0	0	10	0	0	0	1	1	1
OTU2213	0	1	0	0	0	4	3	0	0	0	0	0	0	2	2	0	0	0	6	2	1	0	1	3	3	0	0	0	1	3	1	0	0	1	0	0	0	3	1	0	1	6	0	6	10	2	28	19	1	1	5	0	3	1	1	1	12	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	4	0	0	5	0	1	0	0
OTU1553	0	4	0	0	0	0	3	0	0	0	2	1	3	1	1	3	2	2	2	21	17	8	0	0	7	0	0	0	0	0	0	0	0	0	1	6	0	2	2	9	0	0	0	0	1	0	4	1	1	0	0	0	0	1	3	2	0	0	2	4	0	5	2	1	0	0	0	5	7	0	0	0	1	0	0	0	2	0	0	0	3	1	2	0
OTU2588	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	2	0	0	0	2	0	0	0	0	0	2	0	0	1	18	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU3444	0	2	0	0	0	0	1	0	0	0	2	0	6	26	0	1	0	0	1	1	1	26	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	11	0	1	1	1	0	0	0
OTU2052	0	41	1	0	0	0	3	0	0	0	5	0	22	8	4	0	1	0	2	39	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	1	1
OTU3513	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2825	0	5	0	0	0	0	0	0	1	0	1	0	1	1	2	0	0	0	9	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3827	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1209	0	6	0	0	2	5	0	2	32	0	0	2	9	2	7	2	0	1	12	7	0	10	0	0	29	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	7	11	1	14	9	0	0	0	1	1	0	0	0	3	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
OTU1951	0	1	0	0	0	0	0	0	0	0	0	0	5	0	8	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU812	0	4	0	0	0	3	1	0	1	2	0	1	1	1	2	0	0	1	2	11	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	2	2	197	2	1	0	0	0	0	0	62	0	0	1	0	0	0
OTU1416	0	9	0	0	0	2	0	5	0	0	0	0	6	0	2	0	0	0	21	3	0	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4	0	1	1	1	14	36	0	4	0	1	0	0	5	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU3243	0	6	0	0	3	1	0	0	0	0	0	0	2	1	6	0	0	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1686	0	5	0	0	3	3	0	1	1	4	0	0	0	0	10	3	0	0	2	5	0	2	1	1	34	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	2	0	2	4	60	0	1	13	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
OTU1313	0	5	0	0	2	1	1	1	0	0	0	0	25	3	7	0	0	1	17	60	7	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	2	0	2
OTU2930	0	2	1	0	0	0	5	2	0	0	0	0	4	1	0	0	0	0	1	0	2	0	0	0	10	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	3	0	0	0	1	0	6	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU3200	1	3	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	3	5	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
